source: https://github.com/Parik27/ghidra_scm

0001, 1
0003, 1
0006, 2
0008, 2
0009, 2
000A, 2
000B, 2
000C, 2
000D, 2
000E, 2
0012, 2
0013, 2
0014, 2
0016, 2
0017, 2
0018, 2
0019, 2
001A, 2
001D, 2
001E, 2
001F, 2
0020, 2
0027, 6
0028, 5
002A, 2
002B, 2
002C, 2
002D, 2
002E, 2
002F, 2
0030, 2
0031, 2
0032, 2
0033, 2
0034, 2
0036, 2
0037, 2
0038, 2
0039, 2
003A, 1
003B, 1
003C, 1
003D, 1
003E, 6
003F, 1
0040, 2
0041, 6
0042, 1
0043, 4
0044, 4
0045, 1
0046, 6
0047, 8
0048, 5
0049, 1
004A, 4
004B, 1
004C, 1
004D, 4
004E, 4
004F, 1
0050, 2
0051, 2
0052, 2
0053, 6
0054, 8
0055, 3
0056, 3
0057, 3
0058, 3
0059, 0
005A, 2
005B, 2
005C, 3
005D, 4
007A, 0
007B, 2
007C, 2
007D, 2
007E, 1
007F, 2
0080, 6
0081, 6
0082, 6
0083, 6
0084, 6
0085, 6
0086, 5
0087, 5
0088, 5
0089, 8
008A, 8
008B, 8
008C, 8
008D, 8
008E, 8
008F, 6
0090, 6
0091, 6
0092, 5
0093, 1
0094, 2
0095, 2
0096, 2
0097, 6
0098, 2
0099, 2
009A, 2
009B, 1
009C, 1
009D, 0
009E, 3
009F, 1
00A0, 1
00A1, 2
00A2, 1
00A3, 1
00A4, 4
00A5, 1
00A6, 2
00A7, 1
00A8, 1
00A9, 13
00AA, 2
00AB, 2
00AC, 1
00AD, 2
00AE, 1
00AF, 13
00B0, 2
00B1, 3
00B2, 3
00B3, 3
00B4, 3
00B5, 3
00B6, 0
00B7, 13
00B8, 1
00B9, 6
00BA, 4
00BB, 1
00BC, 2
00BD, 2
00BE, 6
00BF, 2
00C0, 2
00C1, 2
00C2, 2
00C3, 4
00C4, 2
00C5, 5
00C6, 5
00C7, 5
00C8, 3
00C9, 2
00CA, 0
00CB, 4
00CC, 4
00CD, 4
00CE, 2
00CF, 2
00D0, 2
00D1, 2
00D2, 2
00D3, 2
00D4, 2
00D5, 3
00D6, 1
00D7, 2
00D8, 2
00D9, 4
00DA, 5
00DB, 1
00DC, 1
00DD, 1
00DE, 1
00DF, 1
00E0, 1
00E1, 4
00E2, 5
00E3, 1
00E4, 2
00E5, 2
00E6, 2
00E7, 2
00E8, 2
00E9, 2
00EA, 2
00EB, 2
00EC, 2
00ED, 5
00EE, 3
00EF, 3
00F0, 1
00F1, 1
00F2, 2
00F3, 2
00F4, 2
00F5, 3
00F6, 6
00F7, 6
00F8, 6
00F9, 6
00FA, 6
00FB, 8
00FC, 8
00FD, 8
00FE, 8
00FF, 8
0100, 6
0101, 8
0102, 6
0103, 6
0104, 8
0105, 8
0106, 3
0107, 2
0108, 1
0109, 1
010A, 0
010B, 2
010C, 4
010D, 4
010E, 1
010F, 4
0110, 2
0111, 1
0112, 1
0113, 1
0114, 1
0115, 1
0116, 1
0117, 1
0118, 5
0119, 2
011A, 1
011B, 3
011C, 4
011D, 4
011E, 4
011F, 4
0120, 4
0121, 6
0122, 6
0123, 2
0124, 2
0125, 1
0126, 2
0127, 1
0128, 1
012C, 1
012D, 1
012E, 2
012F, 9
0130, 1
0131, 2
0132, 5
0133, 5
0134, 5
0135, 6
0136, 6
0137, 6
0138, 3
0139, 3
013A, 2
013B, 1
013C, 4
013D, 1
013E, 2
013F, 6
0140, 1
0141, 1
0142, 2
0143, 3
0144, 4
0145, 10
0146, 2
0147, 1
0148, 1
0149, 1
014A, 2
014B, 2
014C, 2
014D, 2
014E, 2
014F, 2
0150, 3
0151, 6
0152, 6
0153, 2
0154, 1
0155, 3
0156, 2
0157, 3
0158, 3
0159, 2
015A, 1
015B, 1
015C, 2
015D, 2
015E, 3
015F, 2
0160, 1
0161, 1
0162, 1
0163, 3
0164, 1
0165, 9
0166, 0
0167, 0
0168, 0
0169, 0
016A, 4
016B, 2
016C, 1
016D, 1
016E, 1
016F, 4
0170, 5
0171, 1
0172, 2
0173, 2
0174, 2
0175, 2
0176, 1
0177, 2
0178, 2
0179, 2
017A, 2
017B, 5
017C, 3
017D, 3
017E, 1
017F, 1
0180, 2
0181, 2
0182, 2
0183, 3
0184, 3
0185, 3
0186, 1
0187, 6
0188, 1
0189, 2
018A, 2
018B, 1
018C, 4
018D, 1
018E, 1
018F, 1
01A4, 2
01A5, 1
01A6, 2
01A7, 1
01A8, 0
01A9, 2
01AA, 5
01AB, 1
01AC, 1
01AD, 2
01AE, 1
01AF, 2
01B0, 2
01B1, 6
01B2, 6
01B3, 1
01B4, 6
01B5, 6
01B6, 4
01B7, 1
01B8, 1
01B9, 1
01BB, 4
01BC, 4
01BD, 1
01BE, 1
01BF, 4
01C0, 1
01C1, 6
01C2, 2
01C3, 2
01C4, 8
01C5, 1
01C6, 1
01C7, 1
01C8, 5
01C9, 2
01CA, 2
01CB, 1
01CC, 0
01CD, 0
01CE, 0
01CF, 0
01D0, 2
01D1, 2
01D2, 2
01D3, 2
01D4, 2
01D5, 2
01D6, 2
01D7, 10
01D8, 5
01D9, 5
01DA, 5
01DB, 6
01DC, 6
01DD, 7
01DE, 9
01DF, 1
01E0, 1
01E1, 1
01E2, 1
01E3, 1
01E4, 1
01E5, 1
01E6, 0
01E7, 1
01E8, 0
01E9, 1
01EA, 0
01EB, 1
01EC, 2
01ED, 0
01EE, 2
01EF, 2
01F0, 2
01F1, 1
01F2, 2
01F3, 3
01F4, 2
01F5, 2
01F6, 6
01F7, 1
01F8, 1
01F9, 7
01FA, 2
01FB, 2
01FC, 2
01FD, 2
01FF, 1
0200, 2
0201, 2
0202, 11
0203, 3
0204, 2
0205, 4
0206, 1
0207, 1
0208, 1
0209, 1
020A, 1
020B, 4
020C, 8
020D, 1
020E, 2
020F, 2
0210, 7
0211, 5
0212, 1
0213, 2
0214, 1
0215, 1
0216, 4
0217, 6
0218, 2
0219, 1
021A, 1
021B, 9
021C, 2
021D, 1
021E, 5
021F, 6
0220, 3
0221, 0
0222, 4
0223, 6
0224, 4
0225, 2
0226, 4
0227, 6
0228, 0
0229, 4
022A, 2
022B, 1
022C, 5
022D, 1
022E, 2
022F, 7
0230, 2
0231, 12
0232, 2
0233, 3
0234, 3
0235, 4
0236, 2
0237, 1
0238, 1
0239, 1
023A, 1
023B, 0
023C, 3
023D, 2
023E, 1
023F, 1
0240, 6
0241, 1
0242, 1
0243, 1
0244, 6
0245, 1
0246, 6
0247, 1
0248, 5
0249, 1
024A, 2
024B, 2
024C, 3
024D, 3
024E, 4
024F, 1
0250, 0
0251, 1
0252, 1
0253, 3
0254, 3
0255, 1
0256, 1
0257, 2
0258, 1
0259, 2
025A, 1
025B, 7
025C, 2
025D, 1
025E, 1
025F, 4
0260, 0
0261, 0
0262, 1
0263, 2
0264, 1
0265, 1
0266, 1
0267, 1
0268, 0
0269, 1
026A, 1
026B, 1
026C, 0
026D, 2
026E, 1
026F, 1
0270, 1
0271, 2
0272, 2
0273, 3
0274, 1
0275, 2
0276, 3
0277, 2
0278, 2
0279, 7
027A, 0
027B, 0
027C, 1
027D, 0
027E, 1
027F, 7
0280, 1
0281, 0
0282, 0
0283, 0
0284, 1
0285, 2
0286, 2
0287, 2
0289, 1
028A, 2
028B, 3
028C, 2
028D, 1
028E, 2
028F, 2
0290, 2
0291, 0
0292, 2
0293, 6
0294, 2
0295, 6
0296, 1
0297, 2
0298, 3
0299, 2
029A, 3
029B, 2
029C, 1
029D, 0
029E, 0
029F, 8
02A0, 1
02A1, 0
02A2, 0
02A3, 2
02A4, 0
02A5, 2
02A6, 2
02A7, 1
02A8, 1
02A9, 1
02AA, 0
02AB, 0
02AC, 4
02AD, 3
02AE, 2
02AF, 2
02B0, 1
02B1, 4
02B2, 5
02B3, 1
02B4, 2
02B5, 3
02B6, 8
02B7, 1
02B8, 2
02B9, 2
02BA, 1
02BB, 1
02BC, 10
02BD, 2
02BE, 2
02BF, 6
02C0, 2
02C1, 5
02C2, 5
02C3, 5
02C4, 6
02C5, 6
02C6, 6
02C7, 3
02C8, 1
02C9, 2
02CA, 1
02CB, 1
02CC, 2
02CD, 2
02CE, 0
02CF, 1
02D0, 2
02D1, 1
02D2, 2
02D3, 4
02D4, 1
02D5, 2
02D6, 2
02D7, 5
02D8, 1
02D9, 2
02DA, 5
02DC, 4
02DD, 6
02DE, 1
02DF, 1
02E0, 1
02E1, 1
02E2, 2
02E3, 2
02E4, 2
02E5, 2
02E6, 2
02E7, 5
02E8, 12
02E9, 2
02EA, 1
02EB, 2
02EC, 1
02ED, 2
02EE, 7
02EF, 1
02F0, 1
02F1, 1
02F2, 2
02F3, 1
02F4, 5
02F5, 7
02F6, 7
02F7, 1
02F8, 2
02F9, 2
02FA, 2
02FB, 1
02FC, 0
02FD, 0
02FE, 2
02FF, 2
0300, 2
0301, 1
0302, 3
0303, 2
0304, 6
0305, 8
0306, 1
0307, 6
0308, 8
0309, 3
030A, 15
030B, 1
030C, 1
030D, 1
030E, 1
030F, 8
0310, 3
0311, 4
0312, 13
0313, 2
0314, 1
0315, 7
0316, 2
0317, 1
0318, 2
0319, 2
031A, 3
031B, 3
031C, 1
031D, 5
031E, 7
031F, 1
0320, 1
0321, 2
0322, 5
0323, 1
0324, 3
0325, 2
0326, 2
0327, 2
0328, 2
0329, 2
032A, 1
032B, 1
032C, 3
032D, 2
032E, 1
032F, 2
0330, 2
0331, 2
0332, 1
0333, 6
0334, 2
0335, 1
0336, 2
0337, 6
0338, 1
0339, 2
033A, 1
033B, 1
033C, 1
033D, 2
033E, 8
033F, 0
0340, 2
0341, 2
0342, 2
0343, 3
0344, 2
0345, 1
0346, 2
0347, 2
0348, 2
0349, 1
034A, 1
034B, 1
034C, 5
034D, 1
034E, 1
034F, 2
0350, 2
0351, 1
0352, 1
0353, 2
0354, 0
0355, 1
0356, 1
0357, 1
0358, 2
0359, 3
035A, 1
035B, 2
035C, 1
035D, 1
035E, 2
035F, 2
0360, 6
0361, 1
0362, 1
0363, 4
0364, 4
0365, 8
0366, 4
0367, 2
0368, 2
0369, 2
036A, 0
036B, 1
036C, 1
036D, 3
036E, 1
036F, 0
0370, 1
0371, 0
0372, 5
0373, 7
0374, 3
0375, 4
0376, 5
0377, 2
0378, 3
0379, 0
037A, -1
037B, -1
037C, 1
037D, 1
037E, 1
037F, 1
0390, 0
0391, 0
0392, 0
0393, 2
0394, 1
0395, 10
0396, 1
0397, 1
0398, 1
0399, 2
039A, 2
039B, 5
039C, 1
039D, 0
039E, 0
039F, 1
03A0, 1
03A1, 1
03A2, 5
03A3, 5
03A4, 2
03A5, 2
03A6, 1
03A7, 2
03A8, 0
03A9, 4
03AA, 4
03AB, 0
03AC, 1
03AD, 1
03AE, 2
03AF, 1
03B0, 0
03B1, 2
03B2, 1
03B3, 4
03B4, 4
03B5, 6
03B6, 1
03B7, 1
03B8, 4
03B9, 4
03BA, 0
03BB, 1
